epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0023, 14.062, 59.375, 0.103, 1.000, 
1, 252, 2.2765, 0.0023, 17.188, 67.188, 0.103, 0.910, 
1, 252, 2.2333, 0.0023, 31.250, 73.438, 0.212, 0.639, 
1, 252, 2.0991, 0.0022, 35.938, 87.500, 0.413, 0.640, 
1, 252, 1.7579, 0.0020, 50.000, 90.625, 0.569, 0.258, 
1, 252, 1.2303, 0.0015, 64.062, 85.938, 0.658, 0.434, 
1, 252, 0.9648, 0.0013, 60.938, 95.312, 0.654, 0.344, 
1, 252, 0.8410, 0.0011, 71.875, 96.875, 0.804, 0.175, 
1, 252, 0.5675, 0.0010, 81.250, 98.438, 0.791, 0.222, 
1, 252, 0.3508, 0.0010, 87.500, 100.000, 0.843, 0.139, 
1, 252, 0.4708, 0.0010, 84.375, 100.000, 0.823, 0.393, 
1, 252, 0.4203, 0.0009, 89.062, 100.000, 0.819, 0.277, 
1, 252, 0.4162, 0.0008, 89.062, 100.000, 0.868, 0.365, 
1, 252, 0.2694, 0.0008, 90.625, 100.000, 0.854, 0.389, 
1, 252, 0.3307, 0.0008, 93.750, 98.438, 0.877, 0.192, 
1, 252, 0.3957, 0.0008, 87.500, 100.000, 0.893, 0.533, 
1, 252, 0.3974, 0.0008, 87.500, 98.438, 0.885, 0.318, 
1, 252, 0.4600, 0.0008, 81.250, 100.000, 0.834, 0.328, 
1, 252, 0.2423, 0.0008, 90.625, 100.000, 0.858, 0.387, 
1, 252, 0.2234, 0.0007, 93.750, 100.000, 0.918, 0.347, 
1, 252, 0.2551, 0.0007, 93.750, 100.000, 0.911, 0.299, 
1, 252, 0.2704, 0.0007, 93.750, 98.438, 0.923, 0.283, 
1, 252, 0.4149, 0.0007, 87.500, 98.438, 0.866, 0.440, 
1, 252, 0.4502, 0.0006, 87.500, 98.438, 0.909, 0.447, 
1, 252, 0.2805, 0.0007, 89.062, 100.000, 0.903, 0.358, 
1, 252, 0.1401, 0.0006, 93.750, 100.000, 0.927, 0.384, 
1, 252, 0.2233, 0.0006, 92.188, 100.000, 0.911, 0.448, 
1, 252, 0.1776, 0.0006, 93.750, 100.000, 0.922, 0.302, 
1, 252, 0.2266, 0.0006, 93.750, 100.000, 0.935, 0.404, 
1, 252, 0.2181, 0.0006, 93.750, 100.000, 0.940, 0.397, 
1, 252, 0.1721, 0.0006, 93.750, 100.000, 0.941, 0.369, 
1, 252, 0.3435, 0.0006, 89.062, 100.000, 0.917, 0.358, 
1, 252, 0.0593, 0.0005, 100.000, 100.000, 0.937, 0.389, 
1, 252, 0.1542, 0.0005, 95.312, 100.000, 0.948, 0.367, 
1, 252, 0.1849, 0.0005, 92.188, 100.000, 0.947, 0.425, 
1, 252, 0.1456, 0.0005, 93.750, 100.000, 0.947, 0.425, 
1, 252, 0.2385, 0.0005, 95.312, 98.438, 0.932, 0.362, 
1, 252, 0.1597, 0.0005, 96.875, 98.438, 0.955, 0.410, 
1, 252, 0.1565, 0.0005, 92.188, 100.000, 0.929, 0.491, 
1, 252, 0.0825, 0.0005, 98.438, 100.000, 0.951, 0.384, 
1, 252, 0.1989, 0.0005, 95.312, 98.438, 0.952, 0.470, 
1, 252, 0.1688, 0.0005, 95.312, 100.000, 0.949, 0.467, 
1, 252, 0.3396, 0.0005, 93.750, 100.000, 0.955, 0.387, 
1, 252, 0.1440, 0.0005, 96.875, 100.000, 0.957, 0.404, 
1, 252, 0.1566, 0.0005, 95.312, 100.000, 0.953, 0.451, 
1, 252, 0.1661, 0.0005, 93.750, 100.000, 0.956, 0.444, 
1, 252, 0.1712, 0.0005, 96.875, 98.438, 0.957, 0.412, 
1, 252, 0.3395, 0.0005, 89.062, 100.000, 0.955, 0.491, 
1, 252, 0.0410, 0.0005, 100.000, 100.000, 0.959, 0.455, 
1, 252, 0.1609, 0.0005, 95.312, 100.000, 0.955, 0.399, 
1, 252, 0.0761, 0.0004, 96.875, 100.000, 0.956, 0.523, 
1, 252, 0.2728, 0.0005, 93.750, 100.000, 0.947, 0.460, 
1, 252, 0.2061, 0.0005, 92.188, 100.000, 0.963, 0.370, 
1, 252, 0.1181, 0.0005, 95.312, 100.000, 0.961, 0.447, 
1, 252, 0.0522, 0.0005, 98.438, 100.000, 0.957, 0.365, 
1, 252, 0.1103, 0.0005, 96.875, 100.000, 0.961, 0.371, 
1, 252, 0.1431, 0.0004, 95.312, 100.000, 0.970, 0.402, 
1, 252, 0.1342, 0.0005, 93.750, 100.000, 0.942, 0.416, 
1, 252, 0.1398, 0.0004, 95.312, 100.000, 0.962, 0.439, 
1, 252, 0.1210, 0.0005, 95.312, 100.000, 0.958, 0.452, 
1, 252, 0.1063, 0.0004, 95.312, 100.000, 0.966, 0.463, 
