epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
7, 252, 0.0063, 0.0002, 100.000, 100.000, 0.988, 0.789, 
7, 251, 0.0050, 0.0002, 100.000, 100.000, 0.989, 0.777, 
7, 250, 0.0079, 0.0002, 100.000, 100.000, 0.988, 0.780, 
7, 249, 0.0440, 0.0002, 96.875, 100.000, 0.989, 0.786, 
7, 248, 0.0016, 0.0002, 100.000, 100.000, 0.989, 0.801, 
7, 247, 0.0534, 0.0002, 98.438, 100.000, 0.988, 0.795, 
7, 246, 0.0048, 0.0002, 100.000, 100.000, 0.989, 0.795, 
7, 245, 0.0075, 0.0002, 100.000, 100.000, 0.988, 0.805, 
7, 244, 0.0064, 0.0002, 100.000, 100.000, 0.988, 0.806, 
7, 243, 0.0013, 0.0002, 100.000, 100.000, 0.988, 0.792, 
7, 242, 0.0050, 0.0002, 100.000, 100.000, 0.988, 0.815, 
7, 241, 0.0012, 0.0002, 100.000, 100.000, 0.989, 0.801, 
7, 240, 0.0360, 0.0002, 98.438, 100.000, 0.987, 0.791, 
7, 239, 0.0323, 0.0002, 98.438, 100.000, 0.986, 0.804, 
7, 238, 0.0028, 0.0002, 100.000, 100.000, 0.988, 0.824, 
7, 237, 0.0118, 0.0002, 100.000, 100.000, 0.988, 0.797, 
7, 236, 0.0065, 0.0002, 100.000, 100.000, 0.987, 0.796, 
7, 235, 0.0040, 0.0002, 100.000, 100.000, 0.989, 0.767, 
7, 234, 0.0171, 0.0002, 100.000, 100.000, 0.985, 0.765, 
7, 233, 0.0164, 0.0002, 100.000, 100.000, 0.987, 0.787, 
7, 232, 0.0116, 0.0002, 100.000, 100.000, 0.990, 0.785, 
7, 231, 0.0170, 0.0002, 100.000, 100.000, 0.987, 0.798, 
7, 230, 0.0041, 0.0002, 100.000, 100.000, 0.988, 0.815, 
7, 229, 0.0493, 0.0002, 98.438, 100.000, 0.990, 0.801, 
7, 228, 0.0050, 0.0002, 100.000, 100.000, 0.990, 0.782, 
7, 227, 0.0705, 0.0002, 96.875, 100.000, 0.988, 0.805, 
7, 226, 0.0113, 0.0002, 100.000, 100.000, 0.988, 0.788, 
7, 225, 0.0710, 0.0002, 98.438, 100.000, 0.990, 0.821, 
7, 224, 0.0463, 0.0002, 96.875, 100.000, 0.985, 0.743, 
7, 223, 0.0393, 0.0002, 98.438, 100.000, 0.988, 0.758, 
7, 222, 0.0081, 0.0002, 100.000, 100.000, 0.990, 0.790, 
7, 221, 0.0061, 0.0002, 100.000, 100.000, 0.990, 0.798, 
7, 220, 0.0728, 0.0002, 96.875, 100.000, 0.988, 0.791, 
7, 219, 0.0021, 0.0002, 100.000, 100.000, 0.987, 0.775, 
7, 218, 0.0089, 0.0002, 100.000, 100.000, 0.990, 0.787, 
7, 217, 0.0387, 0.0002, 98.438, 100.000, 0.988, 0.798, 
7, 216, 0.0015, 0.0002, 100.000, 100.000, 0.987, 0.766, 
7, 215, 0.0811, 0.0002, 95.312, 100.000, 0.987, 0.759, 
7, 214, 0.0123, 0.0002, 100.000, 100.000, 0.989, 0.761, 
7, 213, 0.0675, 0.0002, 98.438, 100.000, 0.987, 0.775, 
7, 212, 0.0028, 0.0002, 100.000, 100.000, 0.987, 0.784, 
7, 211, 0.0064, 0.0002, 100.000, 100.000, 0.987, 0.785, 
7, 210, 0.0470, 0.0002, 98.438, 100.000, 0.989, 0.797, 
7, 209, 0.0963, 0.0002, 95.312, 100.000, 0.988, 0.788, 
7, 208, 0.0026, 0.0002, 100.000, 100.000, 0.987, 0.745, 
7, 207, 0.0159, 0.0002, 100.000, 100.000, 0.988, 0.770, 
7, 206, 0.0048, 0.0002, 100.000, 100.000, 0.989, 0.781, 
7, 205, 0.0049, 0.0002, 100.000, 100.000, 0.986, 0.776, 
7, 204, 0.0166, 0.0002, 100.000, 100.000, 0.986, 0.771, 
7, 203, 0.0615, 0.0002, 98.438, 100.000, 0.988, 0.806, 
7, 202, 0.0059, 0.0002, 100.000, 100.000, 0.989, 0.788, 
7, 201, 0.0204, 0.0002, 98.438, 100.000, 0.988, 0.788, 
7, 200, 0.0071, 0.0002, 100.000, 100.000, 0.989, 0.788, 
7, 199, 0.0068, 0.0002, 100.000, 100.000, 0.989, 0.797, 
7, 198, 0.0202, 0.0002, 100.000, 100.000, 0.988, 0.781, 
7, 197, 0.0255, 0.0002, 98.438, 100.000, 0.988, 0.760, 
7, 196, 0.0146, 0.0002, 100.000, 100.000, 0.989, 0.768, 
7, 195, 0.0046, 0.0002, 100.000, 100.000, 0.989, 0.785, 
7, 194, 0.0049, 0.0002, 100.000, 100.000, 0.987, 0.775, 
7, 193, 0.0191, 0.0002, 100.000, 100.000, 0.989, 0.785, 
7, 192, 0.0249, 0.0002, 98.438, 100.000, 0.988, 0.826, 
7, 191, 0.0600, 0.0002, 98.438, 100.000, 0.988, 0.749, 
7, 190, 0.0741, 0.0002, 98.438, 100.000, 0.988, 0.779, 
8, 190, 0.0051, 0.0002, 100.000, 100.000, 0.989, 0.807, 
8, 189, 0.0095, 0.0002, 100.000, 100.000, 0.989, 0.766, 
8, 188, 0.0176, 0.0002, 100.000, 100.000, 0.990, 0.741, 
8, 187, 0.0123, 0.0002, 100.000, 100.000, 0.991, 0.742, 
8, 186, 0.1390, 0.0002, 96.875, 100.000, 0.986, 0.736, 
8, 185, 0.0032, 0.0002, 100.000, 100.000, 0.986, 0.759, 
8, 184, 0.0257, 0.0002, 98.438, 100.000, 0.987, 0.787, 
8, 183, 0.0164, 0.0002, 98.438, 100.000, 0.988, 0.812, 
8, 182, 0.0458, 0.0002, 96.875, 100.000, 0.988, 0.791, 
8, 181, 0.0036, 0.0002, 100.000, 100.000, 0.983, 0.760, 
8, 180, 0.0395, 0.0002, 98.438, 100.000, 0.988, 0.795, 
8, 179, 0.0174, 0.0002, 100.000, 100.000, 0.986, 0.777, 
8, 178, 0.0028, 0.0002, 100.000, 100.000, 0.987, 0.796, 
8, 177, 0.0315, 0.0002, 98.438, 100.000, 0.988, 0.811, 
8, 176, 0.0070, 0.0002, 100.000, 100.000, 0.987, 0.838, 
8, 175, 0.0019, 0.0002, 100.000, 100.000, 0.986, 0.814, 
8, 174, 0.0426, 0.0002, 98.438, 100.000, 0.988, 0.778, 
8, 173, 0.0492, 0.0002, 96.875, 100.000, 0.988, 0.795, 
8, 172, 0.0401, 0.0002, 98.438, 100.000, 0.986, 0.764, 
8, 171, 0.0302, 0.0002, 98.438, 100.000, 0.988, 0.783, 
8, 170, 0.0211, 0.0002, 100.000, 100.000, 0.987, 0.759, 
8, 169, 0.0382, 0.0002, 98.438, 100.000, 0.988, 0.785, 
8, 168, 0.0058, 0.0002, 100.000, 100.000, 0.988, 0.801, 
8, 167, 0.0150, 0.0002, 100.000, 100.000, 0.990, 0.792, 
8, 166, 0.1694, 0.0002, 96.875, 100.000, 0.988, 0.782, 
8, 165, 0.0387, 0.0002, 98.438, 100.000, 0.989, 0.774, 
8, 164, 0.0034, 0.0002, 100.000, 100.000, 0.988, 0.781, 
8, 163, 0.0057, 0.0002, 100.000, 100.000, 0.989, 0.779, 
8, 162, 0.0066, 0.0002, 100.000, 100.000, 0.989, 0.782, 
8, 161, 0.1310, 0.0002, 96.875, 100.000, 0.987, 0.745, 
8, 160, 0.0240, 0.0002, 98.438, 100.000, 0.988, 0.714, 
8, 159, 0.1338, 0.0002, 95.312, 100.000, 0.985, 0.702, 
8, 158, 0.0038, 0.0002, 100.000, 100.000, 0.988, 0.717, 
8, 157, 0.0057, 0.0002, 100.000, 100.000, 0.988, 0.711, 
8, 156, 0.0030, 0.0002, 100.000, 100.000, 0.987, 0.723, 
8, 155, 0.0252, 0.0002, 98.438, 100.000, 0.988, 0.720, 
8, 154, 0.0691, 0.0002, 96.875, 100.000, 0.988, 0.752, 
8, 153, 0.0611, 0.0002, 96.875, 100.000, 0.989, 0.713, 
8, 152, 0.0061, 0.0002, 100.000, 100.000, 0.988, 0.726, 
8, 151, 0.0057, 0.0002, 100.000, 100.000, 0.989, 0.731, 
8, 150, 0.0533, 0.0002, 98.438, 100.000, 0.987, 0.713, 
8, 149, 0.0476, 0.0003, 98.438, 100.000, 0.984, 0.702, 
8, 148, 0.0641, 0.0002, 96.875, 100.000, 0.986, 0.696, 
8, 147, 0.0156, 0.0002, 100.000, 100.000, 0.987, 0.703, 
8, 146, 0.0787, 0.0003, 96.875, 100.000, 0.987, 0.681, 
8, 145, 0.0276, 0.0003, 98.438, 100.000, 0.989, 0.677, 
8, 144, 0.0141, 0.0002, 100.000, 100.000, 0.988, 0.719, 
8, 143, 0.1632, 0.0003, 96.875, 100.000, 0.989, 0.667, 
8, 142, 0.0160, 0.0003, 100.000, 100.000, 0.989, 0.625, 
8, 141, 0.0200, 0.0003, 100.000, 100.000, 0.987, 0.629, 
8, 140, 0.0952, 0.0003, 95.312, 100.000, 0.988, 0.624, 
8, 139, 0.0304, 0.0003, 98.438, 100.000, 0.988, 0.646, 
8, 138, 0.0316, 0.0003, 98.438, 100.000, 0.985, 0.656, 
8, 137, 0.0167, 0.0003, 98.438, 100.000, 0.988, 0.659, 
8, 136, 0.0966, 0.0003, 96.875, 100.000, 0.988, 0.642, 
8, 135, 0.0711, 0.0003, 98.438, 100.000, 0.989, 0.682, 
8, 134, 0.0175, 0.0003, 100.000, 100.000, 0.989, 0.651, 
8, 133, 0.0252, 0.0003, 100.000, 100.000, 0.988, 0.653, 
8, 132, 0.0307, 0.0003, 100.000, 100.000, 0.987, 0.632, 
8, 131, 0.0273, 0.0003, 100.000, 100.000, 0.987, 0.634, 
8, 130, 0.0837, 0.0003, 96.875, 98.438, 0.988, 0.681, 
8, 129, 0.0493, 0.0003, 98.438, 100.000, 0.985, 0.660, 
8, 128, 0.0065, 0.0003, 100.000, 100.000, 0.983, 0.653, 
9, 127, 0.0358, 0.0003, 98.438, 100.000, 0.986, 0.610, 
9, 126, 0.0240, 0.0003, 100.000, 100.000, 0.988, 0.590, 
9, 125, 0.0124, 0.0003, 100.000, 100.000, 0.987, 0.628, 
9, 124, 0.0359, 0.0003, 100.000, 100.000, 0.988, 0.647, 
9, 123, 0.0233, 0.0003, 100.000, 100.000, 0.984, 0.656, 
9, 122, 0.0159, 0.0003, 100.000, 100.000, 0.987, 0.633, 
9, 121, 0.0386, 0.0003, 98.438, 100.000, 0.985, 0.658, 
9, 120, 0.0131, 0.0003, 100.000, 100.000, 0.986, 0.663, 
